,entry,country,area,date,number,position,year,month,day
70,70,桃園市,龍潭區,1997/5/1,0.1,桃園市龍潭區,1997,5,1
71,71,桃園市,龍潭區,1998/5/1,1.5,桃園市龍潭區,1998,5,1
72,72,桃園市,龍潭區,2004/5/1,0.0,桃園市龍潭區,2004,5,1
73,73,桃園市,龍潭區,2006/5/1,0.0,桃園市龍潭區,2006,5,1
74,74,台東縣,鹿野鄉,2007/5/1,23.0,台東縣鹿野鄉,2007,5,1
75,75,台東縣,池上鄉,2007/5/1,22.0,台東縣池上鄉,2007,5,1
76,76,台東縣,關山鎮,2007/5/1,18.0,台東縣關山鎮,2007,5,1
77,77,桃園市,龍潭區,2007/5/1,0.0,桃園市龍潭區,2007,5,1
78,78,雲林縣,大埤鄉,2008/5/1,24.99999998,雲林縣大埤鄉,2008,5,1
79,79,彰化縣,社頭鄉,2008/5/1,6.4999999939999995,彰化縣社頭鄉,2008,5,1
80,80,屏東縣,萬丹鄉,1992/6/11,8.0,屏東縣萬丹鄉,1992,6,11
81,81,南投縣,名間鄉,1992/6/13,1.2,南投縣名間鄉,1992,6,13
82,82,台東縣,鹿野鄉,1992/6/16,0.0,台東縣鹿野鄉,1992,6,16
83,83,台東縣,關山鎮,1992/6/16,0.0,台東縣關山鎮,1992,6,16
84,84,台東縣,池上鄉,1992/6/16,0.0,台東縣池上鄉,1992,6,16
85,85,桃園市,龍潭區,1992/6/16,0.0,桃園市龍潭區,1992,6,16
86,86,台東縣,鹿野鄉,1992/6/20,0.0,台東縣鹿野鄉,1992,6,20
87,87,台東縣,關山鎮,1992/6/20,0.0,台東縣關山鎮,1992,6,20
88,88,台東縣,池上鄉,1992/6/20,0.0,台東縣池上鄉,1992,6,20
89,89,屏東縣,萬丹鄉,1992/6/24,0.0,屏東縣萬丹鄉,1992,6,24
90,90,南投縣,名間鄉,1992/6/25,1.84,南投縣名間鄉,1992,6,25
91,91,桃園市,龍潭區,1992/7/4,0.0,桃園市龍潭區,1992,7,4
92,92,南投縣,名間鄉,1992/7/10,0.0,南投縣名間鄉,1992,7,10
93,93,桃園市,龍潭區,1992/7/16,3.5,桃園市龍潭區,1992,7,16
94,94,屏東縣,萬丹鄉,1992/8/12,2.0,屏東縣萬丹鄉,1992,8,12
95,95,南投縣,名間鄉,1992/8/22,0.0,南投縣名間鄉,1992,8,22
96,96,桃園市,龍潭區,1992/9/1,49.6,桃園市龍潭區,1992,9,1
97,97,南投縣,名間鄉,1992/9/9,0.0,南投縣名間鄉,1992,9,9
98,98,南投縣,名間鄉,1992/9/25,0.0,南投縣名間鄉,1992,9,25
99,99,桃園市,龍潭區,1992/10/1,49.0,桃園市龍潭區,1992,10,1
100,100,花蓮縣,富里鄉,1992/10/3,0.3,花蓮縣富里鄉,1992,10,3
101,101,花蓮縣,玉里鎮,1992/10/3,0.2,花蓮縣玉里鎮,1992,10,3
102,102,南投縣,名間鄉,1992/10/9,0.0,南投縣名間鄉,1992,10,9
103,103,南投縣,名間鄉,1992/10/28,0.0,南投縣名間鄉,1992,10,28
104,104,花蓮縣,玉里鎮,1992/11/10,0.0,花蓮縣玉里鎮,1992,11,10
105,105,南投縣,名間鄉,1992/11/13,0.0,南投縣名間鄉,1992,11,13
106,106,南投縣,名間鄉,1992/11/24,0.0,南投縣名間鄉,1992,11,24
107,107,桃園市,龍潭區,1992/12/1,39.0,桃園市龍潭區,1992,12,1
108,108,宜蘭縣,五結鄉,1992/12/3,0.82,宜蘭縣五結鄉,1992,12,3
109,109,宜蘭縣,礁溪鄉,1992/12/3,0.46,宜蘭縣礁溪鄉,1992,12,3
110,110,桃園市,龍潭區,1992/12/15,36.3,桃園市龍潭區,1992,12,15
111,111,桃園市,龍潭區,1992/12/31,0.0,桃園市龍潭區,1992,12,31
